Energy_keV,InputSpectrum,DetectedSpectrum,GaussianFit
2.920000000000002416e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.712731267656840171e-07
2.930000000000002558e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.963687062823356280e-08
2.940000000000002345e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.758320365046087502e-08
2.950000000000002487e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.306103607505930079e-08
2.960000000000002274e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.885740756300235420e-08
2.970000000000002416e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.068543993511496413e-08
2.980000000000002558e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.015167413841829460e-09
2.990000000000002345e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.363937533874078712e-09
3.000000000000002487e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.868929925239525919e-09
3.010000000000002629e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.031532712673758273e-09
3.020000000000002416e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.656110483862180820e-10
3.030000000000002558e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.081042258681804437e-10
3.040000000000002700e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.667332891831626621e-10
3.050000000000002487e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.963794100197479739e-11
